Date,Team,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10/25/2023,Celtics,77,0.481,39,0.308,26,0.846,7,39,46,18,6,11,13,22,108
10/25/2023,Knicks,97,0.371,41,0.439,26,0.538,17,30,47,24,9,0,11,22,104
10/27/2023,Celtics,95,0.474,39,0.410,19,0.684,16,39,55,20,7,6,15,19,119
10/27/2023,Heat,89,0.427,33,0.485,23,0.826,11,34,45,24,8,6,12,16,111
10/30/2023,Celtics,102,0.500,53,0.358,7,0.714,15,36,51,31,11,6,18,21,126
10/30/2023,Wizards,87,0.448,36,0.306,26,0.692,11,29,40,26,12,4,15,13,107
11/1/2023,Celtics,95,0.568,35,0.571,28,0.964,11,46,57,27,5,2,13,19,155
11/1/2023,Pacers,101,0.455,37,0.135,12,0.583,8,23,31,26,6,6,9,20,104
11/4/2023,Celtics,90,0.478,45,0.333,27,0.852,10,40,50,22,4,6,11,17,124
11/4/2023,Nets,100,0.430,52,0.327,17,0.647,10,32,42,22,4,5,6,21,114
11/6/2023,Celtics,92,0.391,39,0.282,34,0.765,11,34,45,20,13,2,18,26,109
11/6/2023,Timberwolves,85,0.518,37,0.351,25,0.520,6,39,45,26,7,5,24,26,114
11/8/2023,Celtics,91,0.396,47,0.319,19,0.842,9,34,43,28,8,6,13,13,103
11/8/2023,76ers,95,0.442,34,0.265,15,0.867,12,44,56,20,7,7,14,16,106
11/10/2023,Celtics,94,0.436,52,0.365,28,0.714,17,35,52,29,5,3,8,13,121
11/10/2023,Nets,85,0.447,37,0.405,18,0.889,9,37,46,26,0,3,12,25,107
