,Date,Steps
0,2024-08-29,0
1,2024-08-30,0
2,2024-08-31,0
3,2024-09-01,0
4,2024-09-02,0
5,2024-09-03,0
6,2024-09-04,0
7,2024-09-05,0
8,2024-09-06,0
9,2024-09-07,0
10,2024-09-08,0
11,2024-09-09,4134
12,2024-09-10,11452
13,2024-09-11,10250
14,2024-09-12,11221
15,2024-09-13,9434
16,2024-09-14,10228
17,2024-09-15,4368
18,2024-09-16,10968
19,2024-09-17,9272
20,2024-09-18,12970
21,2024-09-19,10637
22,2024-09-20,10637
23,2024-09-21,7450
24,2024-09-22,6705
25,2024-09-23,9999
26,2024-09-24,9636
27,2024-09-25,10148
28,2024-09-26,10758
29,2024-09-27,5791
